loan_id,borrower_name,payment_date,scheduled_payment_amount,actual_payment_amount,payment_type,payment_status,bank_reference_id,pool_id,remittance_id,remittance_date,remittance_amount,trust_account_id,match_type,variance,reconciliation_status,discrepancy_category,severity,recommended_action
LN-000001,Allison Hill,2026-02-05,19039.74,19039.74,Escrow,Posted,84E0458AFDE9,POOL-B,,,,,UNMATCHED,19039.74,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000006,Connie Lawrence,2025-07-12,8221.73,9277.59,Escrow,Posted,3EBB89BCA5D9,POOL-F,,,,,UNMATCHED,9277.59,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000007,Abigail Shaffer,2025-05-25,3375.14,3375.14,Interest,Posted,5ADA8FE47D69,POOL-D,,,,,UNMATCHED,3375.14,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000008,Gina Moore,2025-05-06,43375.72,43375.72,Fee,Posted,C592FC4DE63B,POOL-C,,,,,UNMATCHED,43375.72,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000009,Gabrielle Davis,2026-02-28,30255.19,30255.19,Escrow,Pending,5B3EDF305BCD,POOL-F,,,,,UNMATCHED,30255.19,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000013,Lisa Hensley,2025-10-17,41705.91,41705.91,Fee,Posted,231B49F0D43A,POOL-F,,,,,UNMATCHED,41705.91,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000014,Michele Williams,2025-03-31,11010.79,11010.79,Escrow,Reversed,2FDE355B65E7,POOL-A,REM-001591,2025-04-04,11010.79,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000015,Dylan Miller,2025-03-30,9500.34,9500.34,Escrow,Pending,AABC22301AE4,POOL-F,,,,,UNMATCHED,9500.34,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000017,Holly Wood,2025-07-04,15559.99,10653.46,Escrow,Reversed,D5162C767C27,POOL-E,REM-000287,2025-07-08,10653.46,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000018,Derek Zuniga,2025-07-12,26475.44,26475.44,Escrow,Posted,E3888CA1DACC,POOL-F,,,,,UNMATCHED,26475.44,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000022,Patty Perez,2025-12-27,7404.95,0.0,Principal,Reversed,17233B615296,POOL-B,REM-001585,2025-12-27,0.0,TRU-002,EXACT,0.0,REVERSED,OTHER,Low,Manual review required
LN-000023,Ethan Adams,2025-06-24,14961.16,14961.16,Escrow,Posted,F3646C4F7BE7,POOL-C,,,,,UNMATCHED,14961.16,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
