loan_id,borrower_name,payment_date,scheduled_payment_amount,actual_payment_amount,payment_type,payment_status,bank_reference_id,pool_id
LN-000001,Allison Hill,2026-02-05,19039.74,19039.74,Escrow,Posted,84E0458AFDE9,POOL-B
LN-000002,Noah Rhodes,2025-05-11,47560.36,47560.36,Fee,Posted,D40D9E72A935,POOL-D
LN-000003,Angie Henderson,2025-03-27,36733.7,36733.7,Escrow,Posted,7DD8094FEA0E,POOL-E
LN-000004,Daniel Wagner,2025-08-02,30133.59,30133.59,Fee,Posted,501240D79D91,POOL-F
LN-000005,Cristian Santos,2025-07-18,8222.92,8222.92,Fee,Posted,9ED146049033,POOL-A
LN-000006,Connie Lawrence,2025-07-12,8221.73,9277.59,Escrow,Posted,3EBB89BCA5D9,POOL-F
LN-000007,Abigail Shaffer,2025-05-25,3375.14,3375.14,Interest,Posted,5ADA8FE47D69,POOL-D
LN-000008,Gina Moore,2025-05-06,43375.72,43375.72,Fee,Posted,C592FC4DE63B,POOL-C
LN-000009,Gabrielle Davis,2026-02-28,30255.19,30255.19,Escrow,Pending,5B3EDF305BCD,POOL-F
LN-000010,Ryan Munoz,2025-12-20,35549.59,35549.59,Principal,Posted,4C07F27B2CD5,POOL-B
LN-000011,Monica Herrera,2025-04-28,1518.93,1041.73,Escrow,Posted,EA9882EA179C,POOL-C
LN-000012,Jamie Arnold,2026-01-11,48510.54,48510.54,Principal,Pending,31912B866612,POOL-D
LN-000013,Lisa Hensley,2025-10-17,41705.91,41705.91,Fee,Posted,231B49F0D43A,POOL-F
LN-000014,Michele Williams,2025-03-31,11010.79,11010.79,Escrow,Reversed,2FDE355B65E7,POOL-A
LN-000015,Dylan Miller,2025-03-30,9500.34,9500.34,Escrow,Pending,AABC22301AE4,POOL-F
LN-000016,Brian Ramirez,2025-05-01,9578.52,9578.52,Principal,Posted,1245D5633CA9,POOL-F
LN-000017,Holly Wood,2025-07-04,15559.99,10653.46,Escrow,Reversed,D5162C767C27,POOL-E
LN-000018,Derek Zuniga,2025-07-12,26475.44,26475.44,Escrow,Posted,E3888CA1DACC,POOL-F
LN-000019,Lisa Jackson,2025-11-28,21881.28,21881.28,Fee,Posted,3257986884AD,POOL-D
LN-000020,Carla Gray,2026-01-17,14915.84,14915.84,Escrow,Posted,9218F2E41C0C,POOL-A
LN-000021,Margaret Hawkins Dds,2025-03-28,30786.72,30786.72,Interest,Posted,0DC98C167AB9,POOL-D
LN-000022,Patty Perez,2025-12-27,7404.95,0.0,Principal,Reversed,17233B615296,POOL-B
LN-000023,Ethan Adams,2025-06-24,14961.16,14961.16,Escrow,Posted,F3646C4F7BE7,POOL-C
LN-000024,Tommy Walter,2026-02-14,18634.91,18634.91,Principal,Posted,606636E32D82,POOL-F
LN-000025,Matthew Foster,2026-03-09,23075.46,23075.46,Principal,Posted,94AD307FA024,POOL-E
LN-000026,Judy Baker,2025-12-19,39366.21,39366.21,Principal,Posted,042B16322A48,POOL-A
LN-000027,Justin Baker,2025-10-15,10383.85,10383.85,Escrow,Posted,81534774FA0B,POOL-E
LN-000028,Stephanie Ross,2025-07-05,25954.6,25954.6,Escrow,Posted,35BFE510CA4A,POOL-E
LN-000029,Zachary Hicks,2025-10-30,29824.52,37823.59,Principal,Pending,62EE92D49F22,POOL-E
LN-000030,Anthony Rodriguez,2026-01-10,2799.3,2799.3,Interest,Posted,3971EDEBF022,POOL-F
LN-000031,Rebecca Henderson,2025-08-09,30573.47,30573.47,Principal,Pending,7863F535AEA4,POOL-A
LN-000032,James Ferrell,2025-03-22,8940.94,8940.94,Interest,Posted,15A91679C0BD,POOL-A
LN-000033,Tricia Valencia,2025-06-04,3720.05,3720.05,Principal,Pending,6DBF5FD3D4C3,POOL-E
LN-000034,Nathan Maldonado,2026-03-07,47469.83,0.0,Fee,Posted,032DB58319DC,POOL-C
LN-000035,Debra Davidson,2025-10-18,48298.79,48298.79,Principal,Posted,BF6204B51B65,POOL-F
LN-000036,Jeffrey Chavez,2025-09-05,40515.67,40515.67,Principal,Posted,1155F1D13ADC,POOL-F
LN-000037,Sherri Baker,2025-08-09,15578.38,15578.38,Escrow,Pending,33201D3ED528,POOL-D
LN-000038,Cassandra Gaines,2025-06-02,5334.77,0.0,Interest,Posted,9E671D27FEBA,POOL-F
